sentence,entities
User 12845 accessed the server from IP 192.168.12.45 with token key 9f8d7a6b5c4e3d2f1a0b9c8d7e6f5a4b on 2024-04-12.,"[(5, 10, 'CARDINAL'), (44, 57, 'IP-Address'), (71, 103, 'Token keys'), (107, 117, 'DATE')]"
The backup completed at 15:30 on 2001:0db8:85a3:0000:0000:8a2e:0370:7334 using token key a1b2c3d4e5f60718293a4b5c6d7e8f90.,"[(32, 71, 'IP-Address'), (85, 117, 'Token keys'), (19, 24, 'DATE')]"
Payment of $2500 was processed on 10 April 2023 from IP 10.0.0.254 with authorization token key z9x8c7v6b5n4m3l2k1j0h9g8f7e6d5c4.,"[(12, 16, 'MONEY'), (36, 48, 'DATE'), (54, 63, 'IP-Address'), (84, 116, 'Token keys')]"
Server located in Paris (LOC) with IP 172.16.254.1 reported an error at 3rd attempt with token key qwertyuiop1234567890asdfghjklzxcvbnm.,"[(20, 25, 'LOC'), (36, 47, 'IP-Address'), (66, 71, 'ORDINAL'), (87, 123, 'Token keys')]"
Translator Maria used the language Spanish to process data from IP fe80::1ff:fe23:4567:890a with session token key 1234567890abcdef1234567890abcdef.,"[(11, 16, 'PER'), (28, 35, 'LANGUAGE'), (53, 73, 'IP-Address'), (89, 125, 'Token keys')]"
The novel 'Eclipse' was downloaded by user ID 78321 from IP 203.0.113.195 on 2023-12-01 with token key abcdef1234567890abcdef1234567890.,"[(10, 17, 'WORK_OF_ART'), (43, 48, 'CARDINAL'), (54, 66, 'IP-Address'), (70, 80, 'DATE'), (96, 132, 'Token keys')]"
Server uptime is 256 hours; last check at IP 2001:db8::8a2e:370:7334 with token key f1e2d3c4b5a697887766554433221100.,"[(20, 23, 'QUANTITY'), (40, 65, 'IP-Address'), (81, 113, 'Token keys')]"
Company 'Tech Corp' assigned token key 0a1b2c3d4e5f67890abcdef123456789 to user with IP 198.51.100.42 on 05/05/2024.,"[(8, 17, 'ORG'), (35, 67, 'Token keys'), (82, 93, 'IP-Address'), (97, 107, 'DATE')]"
Access granted to employee John Doe from IP 8.8.8.8 with token key 9876543210abcdef9876543210abcdef on 2023-11-11.,"[(22, 30, 'PER'), (36, 41, 'IP-Address'), (57, 93, 'Token keys'), (97, 107, 'DATE')]"
The server at location Tokyo (LOC) with IP 2404:6800:4003:c03::8a2e:370:7334 generated token key 1a2b3c4d5e6f7g8h9i0jklmnopqrstuv.,"[(26, 31, 'LOC'), (42, 72, 'IP-Address'), (91, 127, 'Token keys')]"
Backup created on 2024-01-15 from IP 127.0.0.1 with token key 1234abcd5678efgh9012ijkl3456mnop.,"[(18, 28, 'DATE'), (35, 44, 'IP-Address'), (54, 90, 'Token keys')]"
The package weighing 15kg was shipped from Berlin (LOC) via IP 10.10.10.10 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(12, 16, 'QUANTITY'), (32, 38, 'LOC'), (47, 57, 'IP-Address'), (68, 104, 'Token keys')]"
User with ID 99999 connected from IP 2607:f8b0:4005:805::200e using token key 0987654321abcdef0987654321abcdef on 2024-03-29.,"[(13, 18, 'CARDINAL'), (31, 65, 'IP-Address'), (81, 117, 'Token keys'), (121, 131, 'DATE')]"
Document 'Project Plan' updated by Sarah Lee on 2023-10-10 from IP 192.0.2.1 with token key abc123def456ghi789jkl012mno345pq.,"[(9, 22, 'WORK_OF_ART'), (36, 45, 'PER'), (49, 59, 'DATE'), (65, 74, 'IP-Address'), (85, 121, 'Token keys')]"
Received payment of €450 at 14:00 from IP 203.0.113.77 with token key ffffffff00000000ffffffff00000000.,"[(17, 21, 'MONEY'), (30, 35, 'DATE'), (41, 52, 'IP-Address'), (63, 99, 'Token keys')]"
The server rebooted at 1st hour with IP 192.168.0.100 and token key aabbccddeeff11223344556677889900.,"[(22, 25, 'ORDINAL'), (36, 49, 'IP-Address'), (54, 90, 'Token keys')]"
"Maria translated the document into French on 2024-02-20, using IP 172.217.16.14 and token key 123abc456def789ghi012jkl345mno678.","[(0, 5, 'PER'), (39, 45, 'LANGUAGE'), (49, 59, 'DATE'), (67, 79, 'IP-Address'), (90, 126, 'Token keys')]"
Node with IP fe80::abcd:1234:5678:9abc generated token key 0f1e2d3c4b5a69788776655443322110 at 2024-06-01.,"[(13, 44, 'IP-Address'), (63, 95, 'Token keys'), (99, 109, 'DATE')]"
Company 'Net Solutions' processed a payment of $1500 from IP 198.51.100.23 using token key 11223344556677889900aabbccddeeff on 2024-05-05.,"[(8, 21, 'ORG'), (44, 48, 'MONEY'), (54, 65, 'IP-Address'), (82, 118, 'Token keys'), (122, 132, 'DATE')]"
The IP 10.20.30.40 was assigned to device with token key 99887766554433221100ffeeddccbbaa at 2024-07-01.,"[(4, 14, 'IP-Address'), (44, 80, 'Token keys'), (84, 94, 'DATE')]"
Server 'Alpha' at location New York (LOC) with IP 172.16.254.10 assigned token key 1a2b3c4d5e6f7g8h9i0jklmnopqrst on 2024-08-15.,"[(8, 13, 'MISC'), (26, 34, 'LOC'), (44, 57, 'IP-Address'), (74, 110, 'Token keys'), (114, 124, 'DATE')]"
User John Smith speaks German and logged in on 2023-09-30 from IP 203.0.113.99 with token key abcdefabcdefabcdefabcdefabcdefab.,"[(5, 15, 'PER'), (23, 29, 'LANGUAGE'), (43, 53, 'DATE'), (59, 70, 'IP-Address'), (81, 117, 'Token keys')]"
The file transfer of 500MB was done on 2024-01-05 from IP 192.0.2.5 using token key 123456abcdef7890123456abcdef7890.,"[(18, 22, 'QUANTITY'), (32, 42, 'DATE'), (48, 57, 'IP-Address'), (69, 105, 'Token keys')]"
Device with IP 2404:6800:4003:c03::8a2e:370:7335 logged event at 2nd hour using token key 0a1b2c3d4e5f6g7h8i9jklmnopqrstuvw.,"[(14, 44, 'IP-Address'), (64, 67, 'ORDINAL'), (83, 119, 'Token keys')]"
Email sent by Alice Johnson on 2023-11-20 from IP 198.51.100.100 with token key abc123def456ghi789jkl012mno345pq.,"[(14, 28, 'PER'), (32, 42, 'DATE'), (48, 61, 'IP-Address'), (72, 108, 'Token keys')]"
The server at London with IP 10.10.10.11 issued token key abcdef1234567890abcdef1234567890 on 2024-07-07.,"[(14, 20, 'LOC'), (26, 37, 'IP-Address'), (52, 88, 'Token keys'), (92, 102, 'DATE')]"
Backup size of 1024GB completed on 2024-03-15 from IP 192.168.1.10 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(15, 19, 'QUANTITY'), (30, 40, 'DATE'), (46, 57, 'IP-Address'), (68, 104, 'Token keys')]"
User with ID 54321 accessed the application using IP 172.217.3.110 and token key 1234abcd5678efgh9012ijkl3456mnop at 2024-02-28.,"[(13, 18, 'CARDINAL'), (59, 70, 'IP-Address'), (85, 121, 'Token keys'), (125, 135, 'DATE')]"
The translation was done by Carlos in Portuguese from IP 203.0.113.45 using token key ffffffff00000000ffffffff00000000.,"[(24, 30, 'PER'), (34, 44, 'LANGUAGE'), (50, 61, 'IP-Address'), (72, 108, 'Token keys')]"
"IP 10.1.1.1 detected anomaly at 5th hour, token key 1a2b3c4d5e6f7g8h9i0jklmnopqrstuv active.","[(3, 12, 'IP-Address'), (31, 34, 'ORDINAL'), (42, 78, 'Token keys')]"
Data export of 2500 records finished on 2024-06-05 from IP 192.168.100.100 with token key abcdefabcdefabcdefabcdefabcdefab.,"[(15, 19, 'QUANTITY'), (39, 49, 'DATE'), (55, 69, 'IP-Address'), (80, 116, 'Token keys')]"
The novel 'Sunrise' was accessed by user ID 87654 from IP 198.51.100.50 on 2023-11-01 with token key 1234567890abcdef1234567890abcdef.,"[(10, 17, 'WORK_OF_ART'), (42, 47, 'CARDINAL'), (53, 65, 'IP-Address'), (69, 79, 'DATE'), (95, 131, 'Token keys')]"
Server at IP 2607:f8b0:4005:805::200e rebooted on 2024-05-20 with token key 0f1e2d3c4b5a69788776655443322110.,"[(13, 47, 'IP-Address'), (58, 68, 'DATE'), (82, 114, 'Token keys')]"
Payment of $300 was made by Michael on 2024-04-10 from IP 203.0.113.60 with token key 11223344556677889900aabbccddeeff.,"[(11, 15, 'MONEY'), (29, 36, 'PER'), (40, 50, 'DATE'), (56, 67, 'IP-Address'), (78, 114, 'Token keys')]"
User Anna accessed the platform from IP 10.0.0.1 with token key 99887766554433221100ffeeddccbbaa on 2024-07-15.,"[(5, 9, 'PER'), (44, 51, 'IP-Address'), (62, 98, 'Token keys'), (102, 112, 'DATE')]"
The book 'Odyssey' was downloaded by user ID 65789 from IP 192.168.1.5 on 2023-12-12 with token key abc123def456ghi789jkl012mno345pq.,"[(9, 16, 'WORK_OF_ART'), (41, 46, 'CARDINAL'), (52, 63, 'IP-Address'), (67, 77, 'DATE'), (93, 129, 'Token keys')]"
Backup of 2048GB completed on 2024-01-30 from IP 172.16.0.20 using token key ffffffff00000000ffffffff00000000.,"[(10, 14, 'QUANTITY'), (24, 34, 'DATE'), (40, 51, 'IP-Address'), (62, 98, 'Token keys')]"
The server located in Sydney (LOC) with IP 203.0.113.5 generated token key 1a2b3c4d5e6f7g8h9i0jklmnopqrstuv on 2024-08-20.,"[(25, 31, 'LOC'), (41, 52, 'IP-Address'), (69, 105, 'Token keys'), (109, 119, 'DATE')]"
User with ID 43210 logged in from IP 8.8.4.4 on 2024-03-03 using token key 1234abcd5678efgh9012ijkl3456mnop.,"[(13, 18, 'CARDINAL'), (38, 45, 'IP-Address'), (49, 59, 'DATE'), (70, 106, 'Token keys')]"
Translator Elena used the language Italian on 2024-02-10 to process data from IP 192.168.0.200 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(11, 16, 'PER'), (30, 37, 'LANGUAGE'), (41, 51, 'DATE'), (69, 82, 'IP-Address'), (93, 129, 'Token keys')]"
The device with IP fe80::abcd:1234:5678:9abc was assigned token key 0f1e2d3c4b5a69788776655443322110 on 2024-06-10.,"[(17, 48, 'IP-Address'), (69, 101, 'Token keys'), (105, 115, 'DATE')]"
Company 'Alpha Systems' transferred $1200 from IP 198.51.100.40 with token key abcdefabcdefabcdefabcdefabcdefab on 2024-05-10.,"[(8, 22, 'ORG'), (33, 37, 'MONEY'), (43, 54, 'IP-Address'), (71, 107, 'Token keys'), (111, 121, 'DATE')]"
IP 10.20.20.20 was allocated to device with token key 1234567890abcdef1234567890abcdef on 2024-07-10.,"[(3, 13, 'IP-Address'), (44, 80, 'Token keys'), (84, 94, 'DATE')]"
Server 'Beta' in location Berlin (LOC) with IP 172.16.254.20 issued token key 1a2b3c4d5e6f7g8h9i0jklmnopqrst on 2024-08-20.,"[(8, 12, 'MISC'), (26, 32, 'LOC'), (42, 55, 'IP-Address'), (72, 108, 'Token keys'), (112, 122, 'DATE')]"
User Mike speaks English and logged in on 2023-09-15 from IP 203.0.113.80 with token key abcdefabcdefabcdefabcdefabcdefab.,"[(5, 9, 'PER'), (16, 23, 'LANGUAGE'), (37, 47, 'DATE'), (53, 64, 'IP-Address'), (75, 111, 'Token keys')]"
File transfer of 750MB completed on 2024-01-10 from IP 192.0.2.10 using token key 123456abcdef7890123456abcdef7890.,"[(18, 22, 'QUANTITY'), (32, 42, 'DATE'), (48, 57, 'IP-Address'), (69, 105, 'Token keys')]"
Device with IP 2404:6800:4003:c03::8a2e:370:7336 logged event on 3rd hour using token key 0a1b2c3d4e5f6g7h8i9jklmnopqrstuvw.,"[(14, 44, 'IP-Address'), (60, 63, 'ORDINAL'), (79, 115, 'Token keys')]"
Email sent by Daniel on 2023-11-25 from IP 198.51.100.110 with token key abc123def456ghi789jkl012mno345pq.,"[(14, 20, 'PER'), (24, 34, 'DATE'), (40, 53, 'IP-Address'), (64, 100, 'Token keys')]"
Server at location Madrid with IP 10.10.10.12 generated token key abcdef1234567890abcdef1234567890 on 2024-07-17.,"[(22, 28, 'LOC'), (34, 45, 'IP-Address'), (62, 98, 'Token keys'), (102, 112, 'DATE')]"
Backup size of 512GB completed on 2024-03-18 from IP 192.168.1.15 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(15, 18, 'QUANTITY'), (28, 38, 'DATE'), (44, 55, 'IP-Address'), (66, 102, 'Token keys')]"
User with ID 67890 logged in from IP 8.8.8.8 on 2024-03-10 using token key 1234abcd5678efgh9012ijkl3456mnop.,"[(13, 18, 'CARDINAL'), (39, 46, 'IP-Address'), (50, 60, 'DATE'), (71, 107, 'Token keys')]"
Translator Anna used the language Dutch on 2024-02-15 to process data from IP 192.168.0.210 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(11, 15, 'PER'), (29, 34, 'LANGUAGE'), (38, 48, 'DATE'), (66, 79, 'IP-Address'), (90, 126, 'Token keys')]"
The device with IP fe80::abcd:1234:5678:9abd was assigned token key 0f1e2d3c4b5a69788776655443322110 on 2024-06-15.,"[(17, 48, 'IP-Address'), (69, 101, 'Token keys'), (105, 115, 'DATE')]"
Company 'BetaTech' transferred $1800 from IP 198.51.100.45 with token key abcdefabcdefabcdefabcdefabcdefab on 2024-05-15.,"[(8, 16, 'ORG'), (31, 35, 'MONEY'), (41, 52, 'IP-Address'), (69, 105, 'Token keys'), (109, 119, 'DATE')]"
IP 10.20.30.30 was allocated to device with token key 1234567890abcdef1234567890abcdef on 2024-07-20.,"[(3, 13, 'IP-Address'), (44, 80, 'Token keys'), (84, 94, 'DATE')]"
Server 'Gamma' in location Rome with IP 172.16.254.30 issued token key 1a2b3c4d5e6f7g8h9i0jklmnopqrst on 2024-08-25.,"[(8, 13, 'MISC'), (27, 31, 'LOC'), (41, 54, 'IP-Address'), (71, 107, 'Token keys'), (111, 121, 'DATE')]"
User Emma speaks Swedish and logged in on 2023-09-20 from IP 203.0.113.90 with token key abcdefabcdefabcdefabcdefabcdefab.,"[(5, 9, 'PER'), (16, 23, 'LANGUAGE'), (37, 47, 'DATE'), (53, 64, 'IP-Address'), (75, 111, 'Token keys')]"
File transfer of 900MB completed on 2024-01-15 from IP 192.0.2.15 using token key 123456abcdef7890123456abcdef7890.,"[(18, 22, 'QUANTITY'), (32, 42, 'DATE'), (48, 57, 'IP-Address'), (69, 105, 'Token keys')]"
Device with IP 2404:6800:4003:c03::8a2e:370:7337 logged event on 4th hour using token key 0a1b2c3d4e5f6g7h8i9jklmnopqrstuvw.,"[(14, 44, 'IP-Address'), (60, 62, 'ORDINAL'), (79, 115, 'Token keys')]"
